t_ms,neuron_id,field,value
7,9,Vm_mV,-60.0
7,10,Vm_mV,-60.0
7,11,Vm_mV,-60.0
7,12,Vm_mV,-60.0
7,13,Vm_mV,-60.0
7,14,Vm_mV,-60.0
7,15,Vm_mV,-60.0
7,16,Vm_mV,-60.0
7,17,Vm_mV,-60.0
7,18,Vm_mV,-60.0
7,19,Vm_mV,-60.0
7,20,Vm_mV,-60.0
7,21,Vm_mV,-60.0
7,22,Vm_mV,-60.0
7,23,Vm_mV,-60.0
7,24,Vm_mV,-60.0
7,25,Vm_mV,-60.0
7,26,Vm_mV,-60.0
7,27,Vm_mV,-60.0
7,28,Vm_mV,-60.0
7,29,Vm_mV,-60.0
7,30,Vm_mV,-60.0
7,31,Vm_mV,-60.0
7,32,Vm_mV,-60.0
7,33,Vm_mV,-60.0
7,34,Vm_mV,-60.0
8,0,Vm_mV,-60.0
8,1,Vm_mV,-60.0
8,2,Vm_mV,-60.0
8,3,Vm_mV,-60.0
8,4,Vm_mV,-60.0
8,5,Vm_mV,-60.0
8,6,Vm_mV,-60.0
8,7,Vm_mV,-60.0
8,8,Vm_mV,-60.0
8,9,Vm_mV,-60.0
8,10,Vm_mV,-60.0
8,11,Vm_mV,-60.0
8,12,Vm_mV,-60.0
8,13,Vm_mV,-60.0
8,14,Vm_mV,-60.0
8,15,Vm_mV,-60.0
8,16,Vm_mV,-60.0
8,17,Vm_mV,-60.0
8,18,Vm_mV,-60.0
8,19,Vm_mV,-60.0
8,20,Vm_mV,-60.0
8,21,Vm_mV,-60.0
8,22,Vm_mV,-60.0
8,23,Vm_mV,-60.0
8,24,Vm_mV,-60.0
8,25,Vm_mV,-60.0
8,26,Vm_mV,-60.0
8,27,Vm_mV,-60.0
8,28,Vm_mV,-60.0
8,29,Vm_mV,-60.0
8,30,Vm_mV,-60.0
8,31,Vm_mV,-60.0
8,32,Vm_mV,-60.0
8,33,Vm_mV,-60.0
8,34,Vm_mV,-60.0
9,0,Vm_mV,-60.0
9,1,Vm_mV,-60.0
9,2,Vm_mV,-60.0
9,3,Vm_mV,-60.0
9,4,Vm_mV,-60.0
9,5,Vm_mV,-60.0
9,6,Vm_mV,-60.0
9,7,Vm_mV,-60.0
9,8,Vm_mV,-60.0
9,9,Vm_mV,-60.0
9,10,Vm_mV,-60.0
9,11,Vm_mV,-60.0
9,12,Vm_mV,-60.0
9,13,Vm_mV,-60.0
9,14,Vm_mV,-60.0
9,15,Vm_mV,-60.0
9,16,Vm_mV,-60.0
9,17,Vm_mV,-60.0
9,18,Vm_mV,-60.0
9,19,Vm_mV,-60.0
9,20,Vm_mV,-60.0
9,21,Vm_mV,-60.0
9,22,Vm_mV,-60.0
9,23,Vm_mV,-60.0
9,24,Vm_mV,-60.0
9,25,Vm_mV,-60.0
9,26,Vm_mV,-60.0
9,27,Vm_mV,-60.0
9,28,Vm_mV,-60.0
9,29,Vm_mV,-60.0
9,30,Vm_mV,-60.0
9,31,Vm_mV,-60.0
9,32,Vm_mV,-60.0
9,33,Vm_mV,-60.0
9,34,Vm_mV,-60.0
10,0,Vm_mV,-60.0
10,1,Vm_mV,-60.0
10,2,Vm_mV,-60.0
10,3,Vm_mV,-60.0
10,4,Vm_mV,-60.0
10,5,Vm_mV,-60.0
10,6,Vm_mV,-60.0
10,7,Vm_mV,-60.0
10,8,Vm_mV,-60.0
10,9,Vm_mV,-60.0
10,10,Vm_mV,-60.0
10,11,Vm_mV,-60.0
10,12,Vm_mV,-60.0
10,13,Vm_mV,-60.0
10,14,Vm_mV,-60.0
10,15,Vm_mV,-60.0
10,16,Vm_mV,-60.0
10,17,Vm_mV,-60.0
10,18,Vm_mV,-60.0
10,19,Vm_mV,-60.0
10,20,Vm_mV,-60.0
10,21,Vm_mV,-60.0
10,22,Vm_mV,-60.0
10,23,Vm_mV,-60.0
10,24,Vm_mV,-60.0
10,25,Vm_mV,-60.0
10,26,Vm_mV,-60.0
10,27,Vm_mV,-60.0
10,28,Vm_mV,-60.0
10,29,Vm_mV,-60.0
10,30,Vm_mV,-60.0
10,31,Vm_mV,-60.0
10,32,Vm_mV,-60.0
10,33,Vm_mV,-60.0
10,34,Vm_mV,-60.0
11,0,Vm_mV,-60.0
11,1,Vm_mV,-60.0
11,2,Vm_mV,-60.0
11,3,Vm_mV,-60.0
11,4,Vm_mV,-60.0
11,5,Vm_mV,-60.0
11,6,Vm_mV,-60.0
11,7,Vm_mV,-60.0
11,8,Vm_mV,-60.0
11,9,Vm_mV,-60.0
11,10,Vm_mV,-60.0
11,11,Vm_mV,-60.0
11,12,Vm_mV,-60.0
11,13,Vm_mV,-60.0
11,14,Vm_mV,-60.0
11,15,Vm_mV,-60.0
11,16,Vm_mV,-60.0
11,17,Vm_mV,-60.0
11,18,Vm_mV,-60.0
11,19,Vm_mV,-60.0
11,20,Vm_mV,-60.0
11,21,Vm_mV,-60.0
11,22,Vm_mV,-60.0
11,23,Vm_mV,-60.0
11,24,Vm_mV,-60.0
11,25,Vm_mV,-60.0
11,26,Vm_mV,-60.0
11,27,Vm_mV,-60.0
11,28,Vm_mV,-60.0
11,29,Vm_mV,-60.0
11,30,Vm_mV,-60.0
11,31,Vm_mV,-60.0
11,32,Vm_mV,-60.0
11,33,Vm_mV,-60.0
11,34,Vm_mV,-60.0
12,0,Vm_mV,-60.0
12,1,Vm_mV,-60.0
12,2,Vm_mV,-60.0
12,3,Vm_mV,-60.0
12,4,Vm_mV,-60.0
12,5,Vm_mV,-60.0
12,6,Vm_mV,-60.0
12,7,Vm_mV,-60.0
12,8,Vm_mV,-60.0
12,9,Vm_mV,-60.0
12,10,Vm_mV,-60.0
12,11,Vm_mV,-60.0
12,12,Vm_mV,-60.0
12,13,Vm_mV,-60.0
12,14,Vm_mV,-60.0
12,15,Vm_mV,-60.0
12,16,Vm_mV,-60.0
12,17,Vm_mV,-60.0
12,18,Vm_mV,-60.0
12,19,Vm_mV,-60.0
12,20,Vm_mV,-60.0
12,21,Vm_mV,-60.0
12,22,Vm_mV,-60.0
12,23,Vm_mV,-60.0
12,24,Vm_mV,-60.0
12,25,Vm_mV,-60.0
12,26,Vm_mV,-60.0
12,27,Vm_mV,-60.0
12,28,Vm_mV,-60.0
12,29,Vm_mV,-60.0
12,30,Vm_mV,-60.0
12,31,Vm_mV,-60.0
12,32,Vm_mV,-60.0
12,33,Vm_mV,-60.0
12,34,Vm_mV,-60.0
13,0,Vm_mV,-60.0
13,1,Vm_mV,-60.0
13,2,Vm_mV,-60.0
13,3,Vm_mV,-60.0
13,4,Vm_mV,-60.0
13,5,Vm_mV,-60.0
13,6,Vm_mV,-60.0
13,7,Vm_mV,-60.0
13,8,Vm_mV,-60.0
13,9,Vm_mV,-60.0
13,10,Vm_mV,-60.0
13,11,Vm_mV,-60.0
13,12,Vm_mV,-60.0
13,13,Vm_mV,-60.0
13,14,Vm_mV,-60.0
13,15,Vm_mV,-60.0
13,16,Vm_mV,-60.0
13,17,Vm_mV,-60.0
13,18,Vm_mV,-60.0
13,19,Vm_mV,-60.0
13,20,Vm_mV,-60.0
13,21,Vm_mV,-60.0
13,22,Vm_mV,-60.0
13,23,Vm_mV,-60.0
13,24,Vm_mV,-60.0
13,25,Vm_mV,-60.0
13,26,Vm_mV,-60.0
13,27,Vm_mV,-60.0
13,28,Vm_mV,-60.0
13,29,Vm_mV,-60.0
13,30,Vm_mV,-60.0
13,31,Vm_mV,-60.0
